ETitalics
Notropis hudsonius
Notropis photogenis
Notropis procne
Notropis rubellus
Notropis stramineus
Notropis volucellus
Notropis wickliffi
Chrosomus eos
Chrosomus erythrogaster
Phoxinus oreas
Pimephales notatus
Pimephales promelas
Pimephales vigilax
Rhinichthys atratulus
Rhinichthys cataractae
Rhinichthys obtusus
Scardinius erythrophthalmus
Semotilus atromaculatus
Semotilus corporalis
Cyprinella analostana
Cyprinella spiloptera
Cyprinella whipplei
Erimystax dissimilis
Erimystax x-punctatus
Luxilus chrysocephalus
Luxilus cornutus
Lythrurus umbratilis
Macrhybopsis storeriana
Margariscus margarita
Opsopoeodus emiliae
Pararhinichthys bowersi
Notropis buccatus
Carpiodes carpio
Carpiodes cyprinus
Carpiodes velifer
Catostomus catostomus
Catostomus commersonii
Cycleptus elongatus
Erimyzon oblongus
Erimyzon sucetta
Hypentelium nigricans
Ictiobus bubalus
Ictiobus cyprinellus
Ictiobus niger
Minytrema melanops
Moxostoma anisurum
Moxostoma carinatum
Moxostoma duquesnei
Moxostoma erythrurum
Moxostoma macrolepidotum
Moxostoma breviceps
Ictalurus furcatus
Ictalurus punctatus
Noturus eleutherus
Noturus flavus
Noturus gyrinus
Noturus insignis
Noturus miurus
Noturus stigmosus
Pylodictis olivaris
Ameiurus catus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Aphredoderus sayanus
Percopsis omiscomaycus
Lota lota
Lota lota pop. 3
Lota lota pop. 4
Strongylura marina
Cyprinodon variegatus
Fundulus diaphanus
Fundulus diaphanus menona
Fundulus heteroclitus
Fundulus majalis
Gambusia affinis
Gambusia holbrooki
Labidesthes sicculus
Menidia beryllina
Menidia menidia
Apeltes quadracus
Culaea inconstans
Gasterosteus aculeatus
Syngnathus fuscus
Morone americana
Morone chrysops
Morone saxatilis
Acantharchus pomotis
Ambloplites rupestris
Enneacanthus chaetodon
Enneacanthus gloriosus
Enneacanthus obesus
Lepomis auritus
Lepomis cyanellus
Lepomis gibbosus
Lepomis gulosus
Lepomis humilis
Lepomis macrochirus
Lepomis megalotis
Lepomis microlophus
Lepomis peltastes
Micropterus dolomieu
Micropterus punctulatus
Micropterus salmoides
Pomoxis annularis
Pomoxis nigromaculatus
Ammocrypta pellucida
Etheostoma blennioides
Etheostoma caeruleum
Etheostoma camurum
Etheostoma exile
Etheostoma flabellare
Etheostoma fusiforme
Etheostoma maculatum
Etheostoma nigrum
Etheostoma olmstedi
Etheostoma tippecanoe
Etheostoma variatum
Etheostoma zonale
Perca flavescens
Percina caprodes
Percina copelandi
Percina evides
Percina macrocephala
Percina maculata
Percina oxyrhynchus
Percina peltata
Percina shumardi
Percina bimaculata
Sander canadensis
Sander vitreus
Lutjanus griseus
Aplodinotus grunniens
Bairdiella chrysoura
Cynoscion regalis
Leiostomus xanthurus
Micropogonias undulatus
Oreochromis aureus
Mugil cephalus
Gobiosoma bosc
Neogobius melanostomus
Proterorhinus semilunaris
Pomatomus saltatrix
Trachinotus carolinus
Paralichthys dentatus
Etropus microstomus
Scophthalmus aquosus
Pseudopleuronectes americanus
Trinectes maculatus
Opsanus tau
Channa argus
Didelphis virginiana
Sorex cinereus
Sorex cinereus cinereus
Sorex palustris
Sorex palustris punctulatus
Sorex palustris albibarbis
Sorex fumeus
Sorex dispar
Sorex hoyi
Sorex hoyi thompsoni
Sorex cinereus fontinalis
Blarina brevicauda
Cryptotis parva
Parascalops breweri
Scalopus aquaticus
Condylura cristata
Myotis lucifugus
Myotis sodalis
Myotis leibii
Myotis septentrionalis
Lasionycteris noctivagans
Perimyotis subflavus
Eptesicus fuscus
Lasiurus borealis
Lasiurus seminolus
Lasiurus cinereus
Nycticeius humeralis
Corynorhinus townsendii
Corynorhinus townsendii virginianus
Sylvilagus floridanus
Sylvilagus obscurus
Lepus americanus
Tamias striatus
Marmota monax
Spermophilus tridecemlineatus
Sciurus carolinensis
Sciurus niger
Sciurus niger cinereus
Sciurus niger vulpinus
Sciurus niger rufiventer
Tamiasciurus hudsonicus
Glaucomys volans
Glaucomys sabrinus macrotis
Glaucomys sabrinus
Castor canadensis
Oryzomys palustris
Peromyscus maniculatus
Peromyscus maniculatus bairdii
Peromyscus maniculatus nubiterrae
Peromyscus maniculatus gracilis
Peromyscus leucopus
Neotoma magister
Myodes gapperi
Myodes gapperi rupicola
Microtus pennsylvanicus
Microtus chrotorrhinus
Microtus pinetorum
Ondatra zibethicus
Synaptomys cooperi
Rattus rattus
Rattus norvegicus
Mus musculus
Zapus hudsonius
Napaeozapus insignis
Erethizon dorsatum
Phocoena phocoena
Canis latrans
Canis lupus
Vulpes vulpes
Urocyon cinereoargenteus
Ursus americanus
Procyon lotor
Martes pennanti
Martes americana
Mustela erminea
Mustela nivalis
Mustela frenata
Mustela vison
Gulo gulo
Taxidea taxus
Spilogale putorius
Mephitis mephitis
Lontra canadensis
Phoca vitulina
Cystophora cristata
Felis catus
Lynx canadensis
Felis rufus
Puma concolor
Puma concolor couguar
Trichechus manatus
Sus scrofa
Cervus elaphus
Cervus elaphus nelsoni
Cervus elaphus canadensis
Odocoileus virginianus
Alces americanus
Bison bison
Chelydra serpentina
Chrysemys picta marginata
Chrysemys picta picta
Clemmys guttata
Glyptemys insculpta
Glyptemys muhlenbergii
Emydoidea blandingii
Graptemys geographica
Malaclemys terrapin terrapin
Pseudemys rubriventris
Terrapene carolina
Terrapene carolina carolina
Trachemys scripta elegans
Trachemys scripta scripta
Kinosternon subrubrum
Kinosternon subrubrum subrubrum
Sternotherus odoratus
Apalone mutica
Apalone mutica mutica
Apalone spinifera
Apalone spinifera spinifera
Sceloporus undulatus
Podarcis sicula
Plestiodon anthracinus
Plestiodon anthracinus anthracinus
Plestiodon fasciatus
Plestiodon laticeps
Carphophis amoenus
Carphophis amoenus amoenus
Clonophis kirtlandii
Coluber constrictor
Coluber constrictor constrictor
Diadophis punctatus
Diadophis punctatus edwardsii
Pantherophis alleghaniensis
Heterodon platirhinos
Lampropeltis getula
Lampropeltis triangulum
Nerodia sipedon
Nerodia sipedon sipedon
Opheodrys aestivus
Opheodrys aestivus aestivus
Regina septemvittata
Storeria dekayi
Storeria occipitomaculata
Thamnophis brachystoma
Thamnophis saurita
Thamnophis saurita saurita
Thamnophis saurita septentrionalis
Thamnophis sirtalis
Thamnophis sirtalis sirtalis
Virginia valeriae
Virginia valeriae pulchra
Virginia valeriae valeriae
Opheodrys vernalis
Agkistrodon contortrix
Crotalus horridus
Sistrurus catenatus
Manayunkia speciosa
Eubranchipus vernalis
Eubranchipus holmanii
Caenestheriella gynecia
Cyzicus mexicanus
Caecidotea pricei
Caecidotea franzi
Caecidotea kenki
Stygobromus biggersi
Stygobromus gracilipes
Stygobromus pizzinii
Stygobromus tenuis
Stygobromus tenuis potomacus
Stygobromus franzi
Stygobromus allegheniensis
Stygobromus stellmacki
Crangonyx dearolfi
Crangonyx forbesi
Crangonyx floridanus
Lacunicambarus diogenes
Cambarus bartonii
Cambarus carinirostris
Cambarus bartonii bartonii
Cambarus acuminatus
Cambarus monongalensis
Lacunicambarus thomai
Cambarus robustus
Cambarus dubius
Gammarus cohabitus
Faxonius obscurus
Faxonius propinquus
Faxonius rusticus
Faxonius immunis
Faxonius limosus
Faxonius virilis
Procambarus acutus
Procambarus clarkii
Creaserinus fodiens
Palaemonetes kadiakensis
Dactylocythere suteri
Sinella hoffmani
Sinella cavernarum
Typhlogastrura helleri
Cicindela dorsalis dorsalis
Cicindela formosa
Cicindela marginipennis
Cicindela ancocisconensis
Cicindela hirticollis
Cicindela hirticollis hirticollis
Cicindela tranquebarica
Cicindela tranquebarica tranquebarica
Cicindela limbalis
Cicindela patruela
Cicindela patruela patruela
Cicindela duodecimguttata
Ellipsoptera lepida
Cicindela rufiventris
Cicindela rufiventris rufiventris
Cicindela purpurea
Cicindela purpurea purpurea
Cicindela scutellaris
Cicindela scutellaris lecontei
Cylindera unipunctata
Cicindela splendida
Cicindela repanda
Cicindela repanda repanda
Cicindela sexguttata
Cicindela punctulata
Cicindela punctulata punctulata
Cicindela abdominalis
Dryobius sexnotatus
Tetracha virginica
Lordithon niger
Nicrophorus americanus
Nicrophorus marginatus
Pseudanophthalmus sp. 44
Gennadota canadensis
Pyrrhalta viburni
Tipula williamsiana
Spelobia tenebrarum
Eutonia alleni
Eutonia marchandi
Baetisca obesa
Baetisca berneri
Baetisca rubescens
Brachycercus nitidus
Teloganopsis deficiens
Serratella serrata
Serratella serratoides
Ephemerella dorothea
Ephemerella dorothea dorothea
Ephemerella invaria
Ephemerella subvaria
Ephemerella aurivillii
Ephemerella excrucians
Ephemerella needhami
Penelomax septentrionalis
Ephemera guttulata
Ephemera simulans
Ephemera varia
Ameletus cryptostimulus
Ameletus lineatus
Ameletus tertius
Ameletus ludens
Ameletus browni
Isonychia arida
Isonychia tusculanensis
Isonychia bicolor
Isonychia rufa
Isonychia hoffmani
Caenis amica
Caenis latipennis
Caenis anceps
Caenis macafferti
Stenacron gildersleevei
Stenacron candidum
Stenacron interpunctatum
Stenacron minnetonka
Stenacron pallidum
Stenacron carolina
Spinadis simplex
Siphloplecton basale
Siphloplecton speciosum
Siphlonurus quebecensis
Siphlonurus typicus
Siphlonurus barbaroides
Siphlonurus rapidus
Siphlonurus mirus
Baetis brunneicolor
Baetis tricaudatus
Baetis flavistriga
Baetis intercalaris
Baetis pluto
Baetis rusticans
Leptophlebia cupida
Leptophlebia nebulosa
Eurylophella verisimilis
Eurylophella aestiva
Eurylophella bicolor
Dentatella coxalis
Eurylophella funeralis
Eurylophella lutulenta
Eurylophella minimella
Eurylophella temporalis
Eurylophella prudentalis
Eurylophella macdunnoughi
Eurylophella bicoloroides
Eurylophella poconoensis
Paraleptophlebia moerens
Neoleptophlebia assimilis
Neoleptophlebia adoptiva
Paraleptophlebia debilis
Paraleptophlebia guttata
Paraleptophlebia ontario
Neoleptophlebia mollis
Paraleptophlebia praepedita
Paraleptophlebia strigula
Anafroptilum semirufum
Neocloeon triangulifer
Neocloeon alamance
Cloeon dipterum
Hexagenia atrocaudata
Hexagenia limbata
Hexagenia bilineata
Hexagenia rigida
Heptagenia flavescens
Heptagenia pulla
Heptagenia culacantha
Rhithrogena manifesta
Heptagenia marginalis
Rhithrogena amica
Rhithrogena jejuna
Maccaffertium pudicum
Maccaffertium vicarium
Maccaffertium meririvulanum
Maccaffertium modestum
Maccaffertium terminatum
Maccaffertium terminatum placitum
Maccaffertium terminatum terminatum
Maccaffertium exiguum
Stenonema femoratum
Maccaffertium ithaca
Maccaffertium pulchellum
Maccaffertium mediopunctatum
Maccaffertium mediopunctatum mediopunctatum
Maccaffertium luteum
Maccaffertium mexicanum
Maccaffertium mexicanum integrum
Habrophlebiodes americana
Tricorythodes stygiatus
Tricorythodes allectus
Tricorythodes explicatus
Tricorythodes mosegus
Epeorus fragilis
Epeorus pleuralis
Epeorus punctatus
Epeorus vitreus
Epeorus dispar
Litobrancha recurvata
Labiobaetis frondalis
Drunella longicornis
Drunella cornuta
Drunella cornutella
Drunella lata
Drunella tuberculata
Drunella walkeri
Acerpenna macdunnoughi
Iswaeon anoka
Anthopotamus myops
Anthopotamus verticis
Anthopotamus distinctus
Anthopotamus neglectus
Anthopotamus neglectus neglectus
Attenella attenuata
Attenella margarita
Cinygmula subaequalis
Choroterpes basalis
Acentrella nadineae
Arthroplea bipunctata
Callibaetis pallidus
Callibaetis pretiosus
Callibaetis skokianus
Callibaetis fluctuans
Callibaetis ferrugineus
Callibaetis ferrugineus ferrugineus
Diphetor hageni
Ephoron album
Ephoron leukon
Habrophlebia vibrans
Leucrocuta aphrodite
Leucrocuta hebe
Leucrocuta juno
Leucrocuta minerva
Leucrocuta walshi
Leucrocuta thetis
Leucrocuta umbratica
Neoephemera purpurea
Nixe inconspicua
Nixe perfida
Nixe horrida
Nixe lucidipennis
Nixe rusticalis
Procloeon rubropictum
Procloeon rufostrigatum
Dannella simplex
Dannella lita
Plauditus cingulatus
Plauditus dubius
Plauditus virilis
Tricorythodes robacki
Leptoypha mutica
Bombus affinis
Bombus vagans
Bombus auricomus
Bombus borealis
Bombus fervidus
Bombus perplexus
Bombus ternarius
Bombus terricola
Bombus pensylvanicus
Bombus bimaculatus
Bombus griseocollis
Bombus impatiens
Bombus sandersoni
Bombus citrinus
